,freq,gain1,gain2,phase1,phase2
83,3112.5,0.400285,0.400285,0.769303,0.769303
84,3150,0.408898,0.408898,0.811373,0.811373
85,3187.5,0.418313,0.418313,0.8537,0.8537
86,3225,0.428606,0.428606,0.896299,0.896299
87,3262.5,0.439867,0.439867,0.939186,0.939186
88,3300,0.452198,0.452198,0.98238,0.98238
89,3337.5,0.465718,0.465718,1.0259,1.0259
90,3375,0.480565,0.480565,1.06976,1.06976
91,3412.5,0.4969,0.4969,1.11397,1.11397
92,3450,0.514912,0.514912,1.15857,1.15857
93,3487.5,0.534826,0.534826,1.20356,1.20356
94,3525,0.556906,0.556906,1.24898,1.24898
95,3562.5,0.581471,0.581471,1.29483,1.29483
96,3600,0.608904,0.608904,1.34113,1.34113
97,3637.5,0.639669,0.639669,1.38792,1.38792
98,3675,0.674338,0.674338,1.4352,1.4352
99,3712.5,0.713617,0.713617,1.48301,1.48301
100,3750,0.758392,0.758392,1.53136,1.53136
101,3787.5,0.809784,0.809784,-1.56132,-1.56132
102,3825,0.869238,0.869238,-1.51183,-1.51183
103,3862.5,0.938641,0.938641,-1.46173,-1.46173
104,3900,1.02051,1.02051,-1.41101,-1.41101
105,3937.5,1.11825,1.11825,-1.35965,-1.35965
106,3975,1.23663,1.23663,-1.30762,-1.30762
107,4012.5,1.3825,1.3825,-1.25493,-1.25493
108,4050,1.56602,1.56602,-1.20154,-1.20154
109,4087.5,1.80299,1.80299,-1.14746,-1.14746
110,4125,2.11937,2.11937,-1.09266,-1.09266
111,4162.5,2.56085,2.56085,-1.03715,-1.03715
112,4200,3.21608,3.21608,-0.980923,-0.980923
113,4237.5,4.28236,4.28236,-0.923974,-0.923974
114,4275,6.30546,6.30546,-0.866314,-0.866314
115,4312.5,11.5551,11.5551,-0.80795,-0.80795
116,4350,56.3499,56.3499,-0.7489,-0.7489
117,4387.5,21.0942,21.0942,-0.689182,-0.689182
118,4425,9.21419,9.21419,-0.628824,-0.628824
119,4462.5,6.05195,6.05195,-0.567858,-0.567858
120,4500,4.60499,4.60499,-0.506323,-0.506323
121,4537.5,3.78888,3.78888,-0.444262,-0.444262
122,4575,3.27628,3.27628,-0.381727,-0.381727
123,4612.5,2.93488,2.93488,-0.318772,-0.318772
124,4650,2.70142,2.70142,-0.25546,-0.25546
125,4687.5,2.5424,2.5424,-0.191856,-0.191856
126,4725,2.43899,2.43899,-0.128029,-0.128029
127,4762.5,2.38058,2.38058,-0.0640524,-0.0640524
